gender,location,gamegenre,ingamepurchases,gamedifficulty,sessionsperweek,avgsessiondurationminutes,playerlevel,achievementsunlocked,engagementlevel
0,Other,Strategy,0,1,6,108,79,25,1
1,USA,Strategy,0,1,5,144,11,10,1
1,USA,Sports,0,0,16,142,35,41,2
0,USA,Action,1,0,9,85,57,47,1
0,Europe,Action,0,1,2,131,95,37,1
0,Europe,RPG,0,0,2,81,74,22,0
0,USA,Action,0,2,1,50,13,2,0
1,Asia,RPG,0,1,10,48,27,23,1
1,Europe,Simulation,0,0,5,101,23,41,1
1,Other,Sports,0,0,13,95,99,36,2
0,USA,Strategy,0,2,8,95,14,12,2
1,Asia,Simulation,1,0,16,124,62,31,2
0,USA,Sports,1,0,9,18,52,32,2
1,USA,Strategy,0,0,0,156,33,47,0
0,USA,Simulation,0,0,8,41,98,1,0
0,Europe,RPG,0,1,10,156,58,24,2
0,Asia,Strategy,0,0,16,154,62,4,2
0,USA,RPG,0,1,2,131,13,9,0
1,Asia,Action,0,0,3,135,77,25,1
1,Asia,RPG,0,0,4,56,21,30,0
1,USA,Sports,0,0,2,177,34,37,1
1,USA,Sports,0,0,18,159,36,33,2
0,USA,Sports,0,1,2,120,81,5,0
0,Europe,Strategy,0,0,14,117,40,19,2
0,Europe,Sports,0,1,12,161,1,22,2
1,USA,Sports,0,2,4,82,1,7,1
0,USA,Strategy,0,1,12,118,71,26,2
0,USA,Sports,0,0,18,177,59,18,2
0,Europe,Simulation,0,0,14,57,2,1,1
1,USA,Sports,0,0,1,155,85,37,0
1,Asia,Simulation,0,0,3,67,35,2,0
0,USA,Sports,1,0,5,70,50,11,1
1,Europe,Action,0,2,0,127,48,48,0
0,USA,Simulation,0,2,19,48,62,42,1
0,USA,Strategy,0,2,0,120,24,18,0
1,USA,RPG,0,1,18,166,24,17,2
0,Europe,Action,0,2,19,28,79,41,1
0,USA,Strategy,0,1,17,61,26,26,1
1,Europe,Action,0,1,11,112,14,0,1
1,Europe,Sports,0,2,3,116,52,44,1
1,Europe,Strategy,1,1,15,43,93,29,1
